pbcIndex;aseIndex;x;y;d;energy;prePES;BLR;nsw3;nsw6;energy_cpu;prePES_cpu;nsw3_cpu;nsw6_cpu
131;131;0.833333333333;0.916666666667;0.25; -493.36319842;-488.39551434;12.679117379849815;-477.43016254;-490.1136824;15847;80;1524;2642
132;132;0.916666666667;0.0;0.25; -496.76324100;-499.51422128;10.778982522103838;-495.67768207;-496.52868395;11898;76;1385;2554
133;133;0.916666666667;0.0833333333333;0.25; -496.76337306;-499.51416459;13.304635706592665;-495.67767153;-496.5287339;16481;68;1375;2540
134;134;0.916666666667;0.166666666667;0.25; -495.08905641;-495.39051045;10.376939137551515;-493.15380313;-494.14857721;10736;59;1035;1742
135;135;0.916666666667;0.25;0.25; -493.36310754;-488.39598876;11.635005717485837;-477.43003094;-490.11368207;24116;81;2121;3688
136;136;0.916666666667;0.333333333333;0.25; -492.31590243;-485.63625719;12.898018795258459;-475.76802134;-487.59465906;20323;81;1774;3141
137;137;0.916666666667;0.416666666667;0.25; -491.78047129;-487.74260208;12.898078670747326;-486.96336637;-491.24590956;10790;80;1540;2784
138;138;0.916666666667;0.5;0.25; -492.02844285;-488.9817971;11.635018800608577;-490.20968053;-491.79918358;26605;77;1943;3637
139;139;0.916666666667;0.583333333333;0.25; -492.02829791;-488.98153987;10.377026529612952;-490.20969373;-491.79918064;23949;68;1726;3219
140;140;0.916666666667;0.666666666667;0.25; -491.78044444;-487.74204536;12.459593452469971;-486.96337196;-491.24574317;10767;80;1538;2782
141;141;0.916666666667;0.75;0.25; -492.31593290;-485.63576721;14.31563546368543;-475.76809063;-487.59466302;42856;80;3278;5864
142;142;0.916666666667;0.833333333333;0.25; -493.36288582;-488.39553723;16.324094902905181;-477.43019880;-490.11368008;18631;80;1846;3182
143;143;0.916666666667;0.916666666667;0.25; -495.08903332;-495.3898287;14.315761914461978;-493.15381306;-494.14858619;10973;59;1075;1792
